Country name,Year,Happiness Rank,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Kazakhstan,2017,59,5.809,10.08812237,0.914093196,64,0.745243967,-0.045617759,0.755250692,0.756762207,0.171486408,0.755705774,-0.605611205,-0.263141751,0.305866667,0.337242872
Kenya,2017,116,4.509,8.004040718,0.714604318,59.5,0.853394389,0.249233559,0.85400039,0.788452208,0.230210304,0.637862563,-0.643422961,-0.478327602,0.4365,0.521331966
Kosovo,2017,45,6.1,9.189712524,0.792087257,64.87929535,0.857676744,0.11196661,0.92519182,0.738435566,0.185879096,0.298196137,-0.161395013,-0.367653489,0.289909091,0.402043372
Kuwait,2017,50,6.021,11.09027195,0.853491306,66.5,0.884181619,-0.039013941,0.812322993,0.692071915,0.307320803,0.502155337,-0.323726535,-0.11457786,0.386038482,0.591861427
Kyrgyzstan,2017,83,5.261,8.129609108,0.882586658,63.79999924,0.859389782,0.164255798,0.874494493,0.755125225,0.160438314,0.561672747,-0.435535431,-0.7608549,0.304117647,0.382150888
Laos,2017,101,4.796,8.763640404,0.70733577,58.29999924,0.891000748,0.073066324,0.591616809,0.872791767,0.344225883,0.839935005,-0.660406411,-0.72428298,0.348,0.585087001
Latvia,2017,52,5.94,10.12918186,0.895098746,66.5,0.699520111,-0.158590496,0.79837811,0.623312771,0.231753111,0.264000505,0.628388107,0.881660819,0.360333333,0.36218524
Lebanon,2017,88,5.197,9.50058651,0.776583016,66.59999847,0.604554176,-0.072667308,0.910727262,0.515443921,0.243549213,0.217718095,-1.085361362,-0.661101758,0.318,0.326644003
Lesotho,2017,137,3.802,7.955478668,0.768551648,47.29999924,0.756505191,-0.153132945,0.796859443,0.746201754,0.255303085,0.695299149,-0.105936453,-0.368156135,0.529,0.59147799
Liberia,2017,135,3.975,6.623783588,0.684866846,55.29999924,0.733389914,0.035448756,0.866806388,0.667946458,0.39133054,0.554991543,-0.216689959,-0.992483616,0.3485,0.590849876
Libya,2017,70,5.525,9.791522026,0.822758794,62.29999924,0.778695881,-0.053038593,0.673065543,0.69704932,0.379374176,0.502155337,-1.884452581,-1.840399504,0.386038482,0.586069345
Lithuania,2017,41,6.149,10.2929678,0.926316619,66.69999695,0.749307334,-0.177641675,0.789709866,0.607613146,0.19511883,0.32124728,0.882906199,0.920204639,0.355,0.428504139
Luxembourg,2017,14,7.09,11.45400238,0.905435503,72.59999847,0.90282172,0.039554782,0.330173582,0.765816867,0.184467003,0.73892206,1.42865932,1.774405956,0.316076923,0.292349696
Macedonia,2017,81,5.274,9.481223106,0.79995513,67.30000305,0.752106607,-0.057991773,0.855697274,0.502459884,0.299390584,0.442916453,-0.194677427,0.02404955,0.390166667,0.371204376
Madagascar,2017,136,3.933,7.255901337,0.626331985,58.70000076,0.570347905,-0.029692357,0.847260773,0.751698077,0.374838024,0.541916132,-0.337169588,-0.934928179,0.43075,0.57831651
